
🕒 2025-01-03 14:02:53+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-03 14:29:39+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-03 14:47:10+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-03 16:02:41+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-03 16:02:42+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-03 16:21:19+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-03 16:23:21+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-03 16:23:22+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-03 21:33:27+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-03 21:33:32+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-03 21:33:40+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-03 21:33:43+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-03 21:33:45+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-03 21:33:51+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-04 04:59:29+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-04 04:59:32+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-04 04:59:33+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-04 21:22:22+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 00:55:29+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 00:55:33+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 00:55:34+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 02:27:19+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 02:27:21+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 02:27:23+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 03:51:08+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-05 03:51:15+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-05 03:51:17+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-05 03:51:19+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-05 04:44:52+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-05 04:46:36+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-05 05:57:38+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
